Date : 2022-08-07 18:11:47
Directory : /Users/haritha/Development/meet.hasathcharu.com
Total : 76 files,  8515 codes, 96 comments, 457 blanks, all 9068 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         39 |      3,028 |         43 |        312 |      3,383 |
| JSON       |          3 |      2,941 |          0 |          3 |      2,944 |
| SCSS       |         11 |        877 |         45 |         27 |        949 |
| CSS        |          1 |        851 |          5 |         67 |        923 |
| HTML       |         16 |        750 |          3 |         45 |        798 |
| XML        |          5 |         36 |          0 |          2 |         38 |
| SQL        |          1 |         32 |          0 |          1 |         33 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |         76 |      8,515 |         96 |        457 |      9,068 |
| controllers                                                                      |          8 |      1,096 |          2 |         83 |      1,181 |
| database                                                                         |          1 |         32 |          0 |          1 |         33 |
| models                                                                           |          2 |        376 |          2 |          5 |        383 |
| public                                                                           |         27 |      2,327 |         41 |        193 |      2,561 |
| public/css                                                                       |          1 |        851 |          5 |         67 |        923 |
| public/images                                                                    |          2 |          2 |          0 |          0 |          2 |
| public/js                                                                        |         20 |      1,421 |         36 |        123 |      1,580 |
| routes                                                                           |          6 |         80 |          3 |         76 |        159 |
| src                                                                              |         11 |        877 |         45 |         27 |        949 |
| src/css                                                                          |         11 |        877 |         45 |         27 |        949 |
| utils                                                                            |          2 |         10 |          0 |          1 |         11 |
| views                                                                            |         16 |        750 |          3 |         45 |        798 |
| views/admin                                                                      |          9 |        571 |          2 |         29 |        602 |
| views/error                                                                      |          1 |         15 |          0 |          1 |         16 |
| views/front                                                                      |          2 |         79 |          0 |          8 |         87 |
| views/includes                                                                   |          4 |         85 |          1 |          7 |         93 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                         | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/haritha/Development/meet.hasathcharu.com/app.js                           | JavaScript |         45 |          0 |         24 |         69 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/admin.js             | JavaScript |        394 |          0 |         30 |        424 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/auth.js              | JavaScript |         26 |          0 |          6 |         32 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/error.js             | JavaScript |         18 |          0 |          0 |         18 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/form.js              | JavaScript |         67 |          1 |         13 |         81 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/front.js             | JavaScript |         33 |          0 |          4 |         37 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/join.js              | JavaScript |        112 |          0 |          6 |        118 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/user.js              | JavaScript |        372 |          0 |         18 |        390 |
| /Users/haritha/Development/meet.hasathcharu.com/controllers/zoomSync.js          | JavaScript |         74 |          1 |          6 |         81 |
| /Users/haritha/Development/meet.hasathcharu.com/database/db.sql                  | SQL        |         32 |          0 |          1 |         33 |
| /Users/haritha/Development/meet.hasathcharu.com/models/user.js                   | JavaScript |        179 |          0 |          3 |        182 |
| /Users/haritha/Development/meet.hasathcharu.com/models/zoomLink.js               | JavaScript |        197 |          2 |          2 |        201 |
| /Users/haritha/Development/meet.hasathcharu.com/package-lock.json                | JSON       |      2,885 |          0 |          1 |      2,886 |
| /Users/haritha/Development/meet.hasathcharu.com/package.json                     | JSON       |         37 |          0 |          1 |         38 |
| /Users/haritha/Development/meet.hasathcharu.com/public/browserconfig.xml         | XML        |          9 |          0 |          1 |         10 |
| /Users/haritha/Development/meet.hasathcharu.com/public/css/main.css              | CSS        |        851 |          5 |         67 |        923 |
| /Users/haritha/Development/meet.hasathcharu.com/public/favicon.svg               | XML        |          1 |          0 |          0 |          1 |
| /Users/haritha/Development/meet.hasathcharu.com/public/images/text.svg           | XML        |          1 |          0 |          0 |          1 |
| /Users/haritha/Development/meet.hasathcharu.com/public/images/zoom1.svg          | XML        |          1 |          0 |          0 |          1 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/assignUser.js          | JavaScript |         12 |          1 |          2 |         15 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/assigner.js            | JavaScript |        136 |          9 |          4 |        149 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/banner.js              | JavaScript |         14 |          0 |          1 |         15 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/changepassword.js      | JavaScript |         66 |          0 |          9 |         75 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/changepasswordadmin.js | JavaScript |         59 |          0 |          9 |         68 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/dark.js                | JavaScript |         46 |          0 |          0 |         46 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/deleteAccount.js       | JavaScript |         59 |          0 |         10 |         69 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/deleteAccountAdmin.js  | JavaScript |         43 |          0 |          5 |         48 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/editprofile.js         | JavaScript |         68 |          0 |         10 |         78 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/editprofileadmin.js    | JavaScript |         68 |          0 |         10 |         78 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/form.js                | JavaScript |        277 |          2 |         15 |        294 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/linkManage.js          | JavaScript |         53 |          0 |          3 |         56 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/main.js                | JavaScript |          5 |          0 |          2 |          7 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/modal.js               | JavaScript |         47 |          8 |          4 |         59 |
